,text_a,text_b,labels
68,@dayatia @lulu_fery Dok day maennya ke cina. Murid dari petinggi partai komunis cina,Murid,2
69,"@chichafrancisca Belakangan setiap naik gunung muter Internationale di puncak, sok-sokan sosialis.",Internationale,2
70,I crave for Nasi Kandar Ali but malas nak beratur.,Nasi Kandar Ali,2
71,Hbd anak kapitalis ,Hbd,2
72,Aku malas nak mencilok naik motor pegi keje. Siapa bole hantarkan aku pegi One Utama New Wing,One Utama,2
73,Kenapalah hati aku susah sgt nak benci org. Hmmm walaupun dh bermacam2 org tu sakitkan aku,org,2
74,"Hah
Bukan bayo2 kau tu nak buek pukimak
Haramjadah punyo budak",Haramjadah,2
75,Xmalu ke babi curi duit aku,Xmalu,2
76,@rshahmad_ main twiter buat apa bodoh ni dp mobile legend,mobile legend,2
77,@thelittlekelly aku benci kawan sutun tu. yg pakai songkok hitam acah2 coverina,coverina,2
78,Aku punya tahap rindu sampai stalk twitter dia. Sampai ke tweet dia dgn org lain dulu. Harey sendiri sakit hati ,org,2
79,Aku stress la zaffrul qayyum ni nak attention ke?!!! Sesiapa tolong bagi dia!!!!,qayyum ni,2
80,Kahkahkah.. padan muka kena tumbuk ko Zafran.. #pia,Zafran,2
81,"""Teori isytihar harta ni secara umum adalah teori komunis dan sosialis,"" katanya dalam satu kenyataan pada Jumaat.",Jumaat,2
82,@dents_mazlan @AKUANAKWATAN Malaysia Baharu.. DAP didahulukan Cina Diutamakan... Padan Muka Aku!!!,Cina,2
83,"Keluar penjara KFC, jumpa liberal kat McD.",KFC,2
84,"Tagona betul la mat rempit 2/3 pagi pegi racing. Memekak. Dah la bilik aku ngadap jalanraya.

",Tagona,2
85,@BROKE4O4 partai komunis indonesia,komunis indonesia,2
86,"@Fadelcaslyadi @ArLex_Wu om tau gak ""Kerja..Kerja.. Kerja"" itu slogan nya PKC = partai komunis cins",PKC,2
87,Kalau memang mengaku Pancasilais ya jangan mengikuti pola hidup yang berdasarkan atheisme. Atheisme itu kan termasuk dalam ajaran komunis.,Pancasilais,2
88,Sakit hati tpi xleh nk cakap pa. Ampa rasa...grrrrrrr,Ampa,2
89,"Kadang lucu liat orang kenapa kaitkan ""beli vans original"" atau Mcd dengan anti kapitalis. Ga sekaku itu bambang",Mcd,2
90,@Bryanpiann 100 plus tu mak aku sllu suh minum masa mula2 nak demam tu. Klu denggi aku tak pasti. Yg pasti makan sup ketam dgn sup katak ,100,2
91,"Kolot Deui Nu Ripuh Ai Geus Ditewakan Mah, Diajar Nu Bener Meh Loba Duit Terus Sosialis Weh.",Ditewakan,2
92,"Kejap melayu malas, kejap melayu rajin. Dah terdesak baru nak cakap elok2 ke? Padan muka anak angkat kau kena mcm mane golden boi kau kena",melayu,2
93,Jahanam mood aku naik bas dgr bab1 duk berdengkur.,Jahanam,2
94,"@BundaSarahza Dalam sistem ekonomi kapitalis liberal siapa pun bisa memiliki pulau, Gunung, pantai. Syaratnya punya uang banyak.",Gunung,2
95,Kedah banyak mat rempit. Fesyen ntah apa apa.,Kedah,2
96,@CzarHareii Rindu nak kena perli atau kena marah? Kakakakaka.. Buat la Cja. Aku baca dan carut even tak reply atau apa.,Rindu,2
97,@Capt_Syamim Suspect denggi ,Suspect,2
98,"@AzzamIzzulhaq Cok... nasib baik aku miskin g sekaya engkau, setidakny andai kaya bisa membalas rasa sakit hati yg kau hina itu.",Cok,2
99,"@PandirTelo @safiraarpt Bales Ry, ""#menantuIdaman adalah anak Ekonomi Sosialis"" ",Bales Ry,2
100,@syarhmnn Boyfriend manalah yang bodoh sangat ni curang dengan perempuan cantik macam bidadari ni.,Boyfriend,2
101,@Dean24924388 Betil tu Dsnr..mereka ni kan kaki fitnah.  Kpd mereka ii yg mudah mempercayai ni mmg betul ii bodoh.,Betil,2
102,Bodoh betul kacau awek org.. Minta pijak berjemaah ke? ,org,2
103,Buat hardbound dekat area upm ni murah je. Area utp cekik darah dah lah kena bayar ikut hari dasar kapitalis,utp,2
104,Udahlah... Koar2 modusnya sama bae...  Yg max ga mau kapitalis tapi perasaan kesenian 3 M.. Sama ja..,3,2
105,Lepas ni sampai ke jakarta kena meeting. Tolong suruh 3budak hebat dari Airasia tu buat keje dah masuk indigo nampak bodoh jer. Semak kepala,Airasia,2
106,"""(Dikatakan kepada orang kafir), ""Masuklah kamu ke pintu neraka Jahanam, dan kamu kekal di dalamnya..."""" (QS 40:76)",Jahanam,2
107,"Sebaik mana pun kita rasa diri kita,tp klu kita ada sikap busuk hati,pemusnah dan pengkhianat keatas org lain,kita adalah sehina2 manusia",org,2
108,Takde nk kondem ke orang kedah yang hina agong tu? Kalau Kelantan buat cucu aku yang tak lahir lagi pun kena laknat netizen ,Kelantan,2
109,Bangsa Final bertalu2 wassp nk tiket...g jahanam la kome g cari sendiri #roadtofinal #peraktbg,roadtofinal,2
110,#PeoplePowerBukanMakar dan juga bukan anti pancasila ingat  ini negara demokratis bukan komunis,demokratis,2
111,"""Se keren apapun ID card kamu tetep aja kamu BUDAK. Bangga boleh BEGO jangan"". Selamat menjadi budak KAPITALIS...",KAPITALIS,2
112,Pukimak la cimb ni. Takleh lambat sikit bayar duit kereta dia call macam aku ni tak bayar 3bulan. Babi sabar la.,3bulan,2
113,@tridaryantoo Hiyahiya kapitalis bersahaja,Hiyahiya,2
114,@rahmeth1 @AimanAirin2 @ShariAwang2 @shakrie_radzi ...MMANG HANJING CINA DAP HARBI,MMANG HANJING CINA,2
115,"@faizalassegaf Teroris Dunia
Isis Yahudi Komunis Kafir Radikal &amp; Syiah Laknatullah

Ini Fakta
   

@faizalassegaf Syiah Laknatullah",Yahudi Komunis Kafir Radikal,2
116,kenapa lah a&amp;w kuantan jauh sgt dekat teluk chempedak. malas nak redah jam,kuantan,2
117,@AbdMalekHussin sorry to say that Lim Kit Siang membawa ideologi komunis dlu membunuh beribu2 rakyat. pergaduhan adik beradik?,Lim,2
118,"Orang yang terdorong kearah racist racism ni;

Orang kelaianan UTAK = OKU

Kita yang sihat harus bantu mereka.

",ni,2
119,Lambemu mbengok2 menentang khilafah tp lak bahas komunis meneng ae.... sampean asline siluman partai komunis tah ????,Lambemu,2
120,"Atheis, hedonist, dan segalanya yang lagha dicop liberal.",Atheis,2
121,Dah diam lah. Biarlah aku tweet apa aku nak. Aku dah la sedih tak dapat gi pbakl,pbakl,2
122,@JJRizal @KomunitasBambu Tokoh2 sosialis justru lahir dari Sumbar.,Sumbar,2
123,@saididu Gaya2 PKI sudah terlihat..waspada dan rapatkan barisan jgn lengah..komunis dan syiah mengintai...,PKI,2
124,Boleh dah kot unfollow ig adik beradik aku. Sakit hati rasanya ,Sakit,2
125,Sape je tak terasa kalau dah selalu sangat kena abai? Sakit tau tak,abai,2
126,@naf_zam  Kami nampak kamu sedang menjilat komunis dalam selimut iaitu DAP.,DAP,2
127,"Tenggelamkan kaum setan komunis ke laut
#TenggelamkanPDIPerjuangan",komunis,2
128,Okay lah geng sis completekan basic je ....... sheetmask ? Hm gi jahanam ,sheetmask,2
129,"Touch ur heart eps14 sedih! Konklusi dia, lelaki ni sayang tapi ego ish i sakit hati uolss! #TouchYourHeart",TouchYourHeart,2
130,@emysya12 Anjirrrr betul. Kena aku d suria haritu. Pakai tudung staff nya. Namun menu ada pork rice.,pork rice,2
131,"Erimin 5 tu kau bagi satu biji je, esoknya tetau dah kena rogol.",Erimin,2
132,Map phone aku ni ada hantu ka? Malam ja elok sikit ptg macam eishh malas nak cursed tapi menjemput ,ptg,2
133,@hmetromy Jahanam umno ini kali di pimpin oleh org ni.. Suweeeeeei,Jahanam,2
134,@nayli_alina @luqman_ramlan Anjirrrrrrrrr,Anjirrrrrrrrr,2
135,@AndiArief__ Om penganut paham komunis yah??,Om,2
136,"DI ZAMAN PAK HARTO PENJARA DI PENUHI OLEH PEMBERONTAK KOMUNIS DAN PENGKHANAT DAN MAFIA2,,,,,,",ZAMAN,2
137,"Aku stress buat BP, tutup laptop.  Baring tgh bilik, layan kdrama. Jgn risau pakai earphone so tak ganggu rumet pun ",BP,2
138,padan muka Arman! #CintaTanpaHenti,CintaTanpaHenti,2
139,"Kapiltalis menguasai panggung politik,
kaum tertindas menjadi budak kapitalis.",Kapiltalis,2
140,Org kentut dalam spring ya arum bulak dapat ku denga dari rumah tok tapi nyawa tok amatlah malas nak bejalan,spring,2
141,"Mahasiswa skrg: dr kampung kaget gemerlap kota, ke diskotik kok lampunya menyala2, Hedonis tai dasar sampah kapitalis, br tahu metropolis ya",Hedonis,2
142,@mysoccerleague @daudghani83 aku tak paham lah apa yg dia busuk hati lah..ank raja uganda selatan tu..keluar lah dr malaysia cepat2,malaysia,2
143,Negaraku dalam cengkraman Komunis,Komunis,2
144,Aku dah tukar simcard LTE pun tak timbul lagi signalnya. Apa bodoh celcom ni,LTE,2
145,Hari ni balik usm  habis program ni aku malas nak kisah pasal ko-k dab ,dab,2
146,@nadinealee Wey.... Better la... Dr kene denggi... Takkan nk fogging dulu kn,Wey,2
147,- Boleh Jadi Denggi. Haihh.,Denggi,2
148,@david_isaac96 Denggi lah cha,Denggi,2
149,"weh serious tak lawak doh lapar time macam ni. Nak makan nasi, nasi dah habis, dah tu malas nak masak. Maggie pulak dah habis",Maggie,2
150,@fadlizon @KremlinRussia_E Nuduh org lain komunis lu gaul sama komunis. Jangan bilang pake bahasa Jawa.,Jawa,2
151,Jahanam bateri main ml ,Jahanam,2
152,"Karl Marx juga pernah bilang, pergerakan kaum sosialis dimulai dengan kata-kata ""sebentar"" dari cewek ketika di jemput mau jalan",Karl Marx,2
153,Ada peminat BTS ke kat sini? Boleh unfollow aku dah. Makin lama makin bebal dia punya taksub. Pundek fans BTS army,BTS,2
154,Celcom kena jual. Padan muka mahal sangat internet diaorang charge. Bye bye Celcom,Celcom,2
155,"aku cemburu k tapi takpelah sayang aku lagi banyak dari ego, pergilah menggatal puas2 nanti aku dah taksayang kau PADAN MUKA",MUKA,2
156,@Dennysiregar7 @aniesbaswedan Kasihanilah dia sbg obat sakit hati semenjak dupecat sbg menteri dulu anti Prabowo kini penjilat aktif.,Prabowo,2
157,Godiva chocolate ada dekat iCity . Chocolate dia sedap bodoh ! Nak piiii,Chocolate,2
158,Berlambak dm org dkt ig tak bukak sebab malas nak layan ,org,2
159,Yaelah... apadayaku yg cuma minum cappucino jd gk bisa tidur smpe skrg. Anjirrr,cappucino,2
160,"@ancap_idn Nabi Muhammad pakai sosialis, konsepnya Negara Madani.",Nabi Muhammad,2
161,Tu sebab aku malas nak gerak sana,Tu,2
162,goodfucking night ... aku gentle just nak layan siapa siapa ah sial ... bodoh buat mood orang gone je kat kerja  annoying gila,night,2
163,Aku malas nak driveee,driveee,2
164,Takda apa yang membuatkan aku lagi koyak selain daripada aku kena reject over a mat rempit. Dua kali pulak tu. Nice ,Dua,2
165,"Dulu aku rasa Pogba mampu bawa ManUtd, tp ble tgk dia main skrg. makin jahanam!!",Pogba,2
166,"@dziki_elkhalil yg baik dr FPI nya pasti lu lupain ya njing komunis

#SaveFPI",FPI,2
167,@UmmiZayyani Habis kau apa anjing. Kimak,Kimak,2
168,Dengar cerita Barcelona kena rogol? Betul ke? ,Barcelona,2
169,Kawan zaman sekolah sampai mati pun akan kekal. Betul ke? ,Kawan,2
170,Mmg pukimak la kaki sembang ni. Benci sial org begini.,org,2
171,@kosmo_online Lepas ni lantik semua kp dari org politik senang nak kaut duit rakyat.. PH lebih jahanam dari BN,BN,2
172,so cimb telan 20 aku ? fck u,20,2
173,@EmRunThis Entah malas nak layan. Logic diluar jangkaan. Sis is blockdt. Periodt.,Logic,2
174,@mijaa_sahminan Ye betul la tu hmm rasa sayang boleh disembunyikan tapi rasa cemburu takboleh nak tahan  if tahan sakit hati ni,Ye,2
175,Aku bab duit memang pantang. Kau dah lebih sis. Pukimak.,Pukimak,2
176,"Askum, ena rasa nak spam gambar di instastori. Siapa malas nak tengok boleh unfollow ena.",ena,2
177,Kampeni komunis.,Kampeni,2
178,Maunya hidup minimalis tapi semua barang dihilangkan terus beli produk2 ikea. Seems like minimalis-sosialis-kapitalis,ikea,2
179,"[askmf] guysss yg pernah ke gokana, saran menu yg enak dong, kl bisa yg ga bikin sakit perut (suka pedes tp gasuka yg pedes nyiksa) thankss",askmf,2
180,Nak beli rumah tapi masalahnya bulan-bulan 1.2k wahhhh... Jahanam aku,Jahanam,2
181,"top 5 most racist senrans:
1. Kafuru
2. Imu
3. Yumi
4. Mirai
5. Ikaruga",Mirai,2
182,"Dear mat rempit, bertaubat la. Aku yang tak merempit ni pun taubat nak bawa motor. Sakit dia lama weh",Dear,2
183,"@Adjat4lgh4fiqi @na_dirs Ciri kaum cingkrang,klo gak bisa nyagga dg dalil ilmu, ujung 2nya cap kafir, liberal ,syia,komunis,...ampun deh",2nya,2
184,Adehh feels like nak makan that samyang ramen in carbonara. At the same time mcm malas nak drive out. Paham tak situasi camtu.,Adehh,2
185,Dah tau ada talk tu diam lah setan !,talk,2
186,SUMPAH BODO MACAM FUCK UNIFI. BODO FUCK ANJING PUKIMAK BABI,PUKIMAK,2
187,@arwidodo Komunis itu batu pak Suma dadu kufron( akan kufur selama lamanya) Audzu Billahminzalik,Audzu Billahminzalik,2
188,"Korang pernah tak rasa mcm malas nak jumpa org, malas nak small talk, malas nak berckp and semuanya la. huh. spoiled",talk,2
189,Aku nampak muka dia gerak dulu pstu tengok tapak tangan WHAT THE HELL MY HAND IS FREAKING MOVING!!!!,HELL MY HAND IS FREAKING MOVING,2
190,@ayacanina @FiersaBesari Gue g suka kapitalis tapi gue ngefans gaya penjajahan inggris di indonesia,indonesia,2
191,bebal jugak eh esok puasa aku request foodpanda delivery mcd esok pagi 8.45 ,45,2
192,kebanyakan suara mat2 rempit yg lepak malam2 tepi simpang tiga ni suara demeh tuh sedap2 nak2 biler menyanyi lagu jiwang,simpang tiga,2
193,Alfatihah adalah obat dari segala penyakit. Termasuk sakit hati my loooov #MSMei #MocopatSyafaat,MocopatSyafaat,2
194,Bencinya kerja dgn company racist. Haih,Haih,2
195,"@saljialonso @mkini_bm Masih salahkan DAP,kah3,memang dulu felda untung sekarang rugi salah PH,kau sama bodoh macam bosku dan umno",DAP,2
196,@dqalbun89 Denggi ke?,Denggi,2
197,@tekong Pernah accident macam ni dekat Terengganu otw nak pergi kelas sebab orang keluar tak bagi signal.,Terengganu,2
198,Barang aku sume jahanam sume sbb anak buah aku.. Arito fon.. Ni laptop lak ,lak,2
199,"@Nik_Nazirah_ I penah dduk ward seminggu la juga time denggi. Rsa anxious, sejuk, sedih semacam ja....rasa lonely sgt ",seminggu,2
200,Dah macam bodoh tulis Kashless,Kashless,2
201,"@tanya2rl Pas liat prtma kali, ga kerasa apa apa.  Pas liat lagi ditempat yg berbeda,  tngan kanan gue merinding anjirr: '((",Pas,2
202,@DenQtink @fadlizon @IreneViena @mohmahfudmd Jae menang di basis komunis garis keras,Jae,2
203,Tapi pernyataan bahwa dihadapan Tuhan ia muslim dan dihadapan ia komunis merupakan pernyataan politis dihadapan komintern,muslim,2
204,Post gambaq hg masak dah la. Post lain buat org sakit hati ja,Post,2
205,"@danielqim Ada jer tu kau je malas nak cari...
Cari Voldemort sanggup",Cari Voldemort,2
206,@sha_derella Aah akad nikah sehari sebelum. So time kenduri ingat malas nak pikir pasal outdoor dah. Amek gambar kat kenduri jaa.,Aah,2
207,"@ardi_riau PEMINDAHAN IBUKOTA DR JAKARTA KE DAERAH LAIN , CUMA KEDOK, ITU UNTUK CINA KAFIR KOMUNIS TIONGKOK DAN CINA2 KAFIR 9 KUTU !!",IBUKOTA,2
208,@Anggapre7 kapitalis baik jika dijalankan dengan kedok sosialis. Indoneziaa~,Indoneziaa,2
209,Anjirrrrr ,Anjirrrrr,2
210,@Astuty64 Tampang2 muntah kucing. Piaran KOMUNIS,Tampang2,2
211,Wow sialnya rasa macam ditipu. Pukimak,Pukimak,2
212,"@garam_masalah @tubirfess Oalah, maksudnya anak pro sosialis itu bukan WN venezuela ya, paham bro maksud lu",ya,2
213,tibe ii aku benci gn ws punya lah susah 30 mint aku reka nama dia huna emoji siap je hntt terus berteraburhanat punya ws,30,2
214,Hnmmmmm rasa nak mengamuk,Hnmmmmm,2
215,"@Noer_A_zahra @edi_sadja @SANG_225 @edo751945 Heh kamprett, Komunis masuk Indonesia yg membawa itu orang arab, baca sejarah biar kau paham.",Komunis,2
216,Apebenda sia juwita ni ahh aku stress tengok #Nur,Nur,2
217,padan muka kau! puas hati aku habiskan 2 donat tu  tapiiiii 2 donat tak sebesar sepasang baju tau ,2,2
218,@MajelisLucu Anda tidak pernah mengadili joke joke sampah lagi... Fungsi anda apa APA HAWAI HAKIM KAPITALIS,HAWAI,2
219,"@amaaaaaaaakz_ Weh! Take care. Denggi jangan buat main, semoga cepat sihat ",Denggi,2
220,@thelarats Denggi ke jo,Denggi,2
221,Dari tengahari tadi aku nak order McDonald's via foodpanda tak lepas2. Ingat malas nak masak hari ni tapi last2 ke dapur la jugak.,McDonald,2
222,lho bukannya kalo dah jadi liberal konservatif pro western anti adat istiadat lokal baru open minded ya min,western,2
223,"Selamat bulan Juli ,ges. Jangan lupa sarapan jadi sekrup kapitalis perlu enerhi,ges. :3",sekrup,2
224,@NgaKorMing DAP Komunis Celaka adalah musuh negara..!!!!,DAP,2
225,"@jokowi Iya bener kata Pak. Jokowi, tapi pancasila jangan hanya di jadikan lipstik.tapi kenyataan di lapangan janagn sepeti ideologo Komunis",Jokowi,2
226,@KompasTV Dia mencoba mengekang demokrasi ...apa negara mau dibuat seperti komunis cina atau korea utara .... hati2 terhadap faham PKI,PKI,2
227,"harini jahaman. makan kelaut. tibai nasi. tibai siakap 3 rasa, tibai milo ais 
jahanam",nasi,2
228,"@andihiyat bodohnya aku lgsg ngacak2 rambut sendiri tb2 ngerasa frik bgt:""",tb2,2
229,Da siap2 nak g mid beli chizu pastu cam malas lak malas nak drive malas nak cari parking,chizu,2
230,"@tembangsunyi #KamiBersamaFPI 
#KamiDukungFPi 
Munafiqun dan Komunis segera menyingkir.",Munafiqun,2
231,No. I'm not denggi. Kita tak sakit sendi2 pun. Kita demam biasa je. Yaa biasa je. ,Yaa,2
232,"Dasar kapitalis! Ya mo gmn lg yak, textbook gw dari semester 1 dari Amriki. Apa gue harus kayang sambil bilang wow?",Amriki,2
233,@saidiman Yang benar HTI akan menyelamatkan Indonesia dari para kapitalis asing dan aseng.,Indonesia,2
234,@mamarae__ Amjadah..... Sakit hati bace ni,Amjadah,2
235,tito bencong komunis hobi bercocok tanam,bercocok,2
236,Siap buatkan untuk awek bagi dia pakai. Sampai ke sudah ada caj tertunggak tak settle lagi. Padan muka aku.,Siap,2
237,"@yusuf_dumdum Dg campur tangan komunis,syiah dan sekuler...biang kehancuran2 negeri kaum muslim.",muslim,2
238,"@haikal_hassan 1 hal mungkin waktu dulu kampanye banyak yg  fitnah

Itulah yg membuat sakit hati dan hatinya sekarang mati",1,2
239,"QUOTE:
Negara yg mayoritas beragama, lebih brengsek daripada kapitalis",QUOTE,2
240,Jahanam lee.z.jia ni main ganti lee chong wei konon,Jahanam,2
241,POSTING KESEDARAN MINDA UMMAH TRAIT PERSONALITY DAP DAN IDEOLOGI KOMUNIS ALAF BARU,PERSONALITY,2
242,"org indonesia kenapa benci banget dengan komunis ya???? 

apa salah mereka???",indonesia,2
243,"Ada siswa namanya may mayda terus tak tanya  km lahir nya 1 mei dek? Enggak mba 
#yahh orangtuamu kurang sosialis ",1 mei,2
244,"Senyap gutu ja, malas nak tanya",ja,2
245,@ustadtengkuzul @KPI_Pusat Komunis Penyiaran Informasi,Komunis Penyiaran Informasi,2
246,Lain kali kutuk jela aku lagi. Nak cakap aku market sebab layan kau nak taknak. Paloi takde otak. Dah besar pun nak pertikaikan pasal chat.,Paloi,2
247,Padan muka kau tentera Zionist,Zionist,2
248,"@eLfathir_ Sorry diralat,
Bukan nasionalis, tapi sosialis.",Sorry,2
249,@harismz @Uki23 Paham komunis udah gak laku. China meskipun politik komunis tapi sekarang menganut ekonomi kapitalis.,China,2
250,@herynurs17 @SepakbolaSleman Fuck kapitalis save pasar denggung,denggung,2
251,"@imau_rokan @lookinglove62 Koq serasa hidup di negara komunis 
#GerakanKedaulatanRakyat 
#GerakanKedaulatanRakyat",GerakanKedaulatanRakyat,2
