text_a,text_b,label,NE_type,PoS,isReply
antara kejadian paling penting dalam sejarah politik borneo tapi (macam biasa) tidak diceritakan dalam buku teks sejarah malaysia.,borneo,-1,GPE,PROPN,False
apa komen bekas menteri alam sekitar PH @yeobeeyin pasal #PenangTolakTambak ni?,PenangTolakTambak,-1,ORG,PROPN,False
KERAjaan memey ah,ah,-1,PERSON,PROPN,False
@djlinsuriacinta Aduh kak. Lapar terus ni. Da la sakit hati dgn UMNO nak buat comeback pagi pagi buta. Akak pulak buat daging masak kicap,UMNO,-1,NORP,PROPN,True
Gencatan Politik.,Gencatan,0,WORK_OF_ART,NOUN,False
@hmetromy PKR Selangor gagal,PKR Selangor,-1,ORG,PROPN,True
Parti berasaskan agama &amp; kaum sebenarnya yg porak perandakan Malaysia. Atau dipanggil RASIS,Malaysia,-1,GPE,PROPN,False
Aku sudah vaksin kok Bersatu Indonesia Kuat,Bersatu Indonesia,0,GPE,PROPN,False
semuanya bersatu Bersatu Indonesia Kuat,Bersatu Indonesia,0,GPE,PROPN,False
"Bersatu kita teguh, bercerai kita roboh.",Bersatu,-1,ORG,PROPN,False
Terbaik mamat umno. Cable kuat!,Cable,-1,ORG,NOUN,False
@faridh63 @SyedSaddiq Network? itu cara UMNO. penipu. Tak amanah. Cara orang datok yang fikirkan diri sendiri dan kroni dia ja. Saya rakyat muar sendiri nak kan YB bukan kroni dia!!!!,UMNO,-1,NORP,PROPN,True
Talkin untuk Umno....,Talkin,-1,WORK_OF_ART,PROPN,False
"UMNO bersama rakyat kepala butooo bab2 ni pukul 1 pagi live pun xpa, bab rakyat macam2 prosedur hampa nak buaattt",UMNO,-1,NORP,PROPN,False
"@mkini_bm Jgn kasi dia jadi Calon BN-UMNO kat BERA nnt.. Period, dia nk blah msk Bersatu let him go.",BERA,-1,ORG,PROPN,True
Kelantan? ADUN rata dari parti Islam,Islam,0,ORG,PROPN,False
Lahhh tak kawan ngan UMNO ke ? Ish ish ish. Kata sahabat,UMNO,-1,NORP,PROPN,False
Tak payah nak petik nama Ustaz Ebit.korang ja asyik pusing kiri kanan demi politik peribadi korang.,Ustaz Ebit,-1,WORK_OF_ART,PROPN,False
Kerajaan: Sila ambil vaksin Orang yg daftar awal dkt mysejahtera pun tak dapat2 lagi. Lagi2 bukan yg duduk area selangor.,selangor,-1,GPE,PROPN,False
Zaman remaja dihabiskan dengan kerja makan tido and baca kebodohan kerajaan. Setiap hari benda yg sama. Guwe stress,Guwe,-1,PERSON,PROPN,False
@GTMT80 @saysdotcom I love Penang pun dah macam slogan politik,Penang,-1,GPE,NOUN,True
"Nak tanya, semalam pergi tesco, kenapa barang electric dia pangkah tak bagi masuk? Bukan kerajaan kata dah boleh bukak ke?",tesco,-1,FAC,NOUN,False
"Semoga kita semua terselamat daripada perkara yang tidak diingini. Banyakkan mengimbau saat saat indah. Hidup ini memang palat lagi lagi dapat pulak kerajaan buta tuli macam PN. Tapi percayalah, semua kebodohan ini tidak akan kekal selamanya. Ada bahagia menunggu kita.",PN,-1,NORP,PROPN,False
Sistem E-kasih rasanya tidak perlu pilih kasih. Miskin tegar jak boleh apply ? Yang bergaji rm1200 lepas itu bnyk komitmen tak layak apply ? kalau boleh kerajaan negeri sabah kasi layak untuk semua golongan B40 @MasidiM @KKCity @SANDAKANtwt,sabah,-1,GPE,NOUN,False
So ada cina create fake akaun impersonate melayu and tweet berbaur racism and controversial semata mata nak bagi bergolak isu perkauman and dia dari DAP muda. Lol.,DAP,-1,NORP,PROPN,False
@harakahdailyHD Pembangkang yg dia maksudkan tu UMNO ke? Kalau PH takde langsung dalam DUN terengganu.,terengganu,-1,GPE,PROPN,True
@acap_munez Nnt ada yg bising knp bagi bersasar... lepas tu Kerajaan berbincang lagi... Hahahaha,Kerajaan,-1,GPE,PROPN,True
Kerajaan nak aniaya orang Selangor sebenarnya,Selangor,-1,GPE,NOUN,False
@zaffyzak Tak kesah la memana asalkan bukan kerajaan abah cow,cow,-1,PERSON,PROPN,True
Kerajaan Not Sure.,Kerajaan Not Sure,-1,ORG,PROPN,False
Macam macam hal betul Politik dekat Malaysia ni. Bila nak habis taktahu la,Malaysia,-1,GPE,PROPN,False
"Macam mana teruk sekali pun orang2 UMNO BN, rakyat tetap jugak duk pilih depa ni. Seboleh boleh takmau bg Anwar jd PM no?",Anwar,-1,PERSON,PROPN,False
@numanmazlan @AzrilVienna Israhell suap duit mula la ikut kerajaan,Israhell,-1,PERSON,PROPN,True
"@realDrMAZA Alhamdulillah Perlis tak banyak kilang. Kalau tak, benak Menteri MITI nanti kena bebel dgn Mufti perestu kerajaan PNngkhianat ni",Perlis,-1,GPE,PROPN,True
"Good job Kerajaan Selangor, @AmirudinShari! Sejujurnya waktu kotak tu sampai aku skeptikal. Bantuan dari ahli politik. Mesti bodo-bodo bagi beras, minyak dll sedangkan uni tak bagi masak. Tengok2 saya tersilap. Ada juga rupanya ahli politik yang tak bodoh &amp; memahami mahasiswa~",Good job Kerajaan Selangor,-1,ORG,PROPN,False
Tukar lah macam mana pun kerajaan tapi kalau guna orang sama Malaysia masih gagal,Malaysia,-1,ORG,PROPN,False
"Boleh eh gesa YDPA and Sultan? Cuba yang cakap ni daripada DAP or PH,mesti ultras terpaling Melayu dah berdemo",DAP,-1,NORP,PROPN,False
Yet Taki kata kerajaan still ok. Abah dia.,Yet,-1,PERSON,PROPN,False
@MalaysiaGazette Aah ADUN Bersatu. Padanlah bagi idea ni... Nak sorok kes dalam kelompok? Biar BID melambung tinggi?,BID,-1,ORG,PROPN,True
Tak ada pula party multiracial datang membela.... kerana Durian Action Party adalah parti khusus untuk orang2 cina...,Durian Action Party,-1,ORG,PROPN,False
Caprice ni kene cucuk ngan org umno yg tak lepas masuk gaza ke.. hahahaha,Caprice,-1,PERSON,PROPN,False
Cuba kalau kerajaan cakap macam ni. Mengamuk Muar nanti,Muar,-1,GPE,PROPN,False
Pukimak punya Cina DAP jgn bagi muka..kurang ajar punya cina babi,Cina DAP,-1,NORP,PROPN,False
Sekarang ni orang Malaysia tengah menentang covid ke menetang kerajaan?,Malaysia,-1,GPE,PROPN,False
Terkejut tak PKP ni extend? Tak. Terkejut tak takda bantuan diberi? Tak. Habis apa yang terkejut? Terkejut orang masih bersabar dengan kerajaan zalim ni,PKP,-1,GPE,NOUN,False
@nurinasuha__ Sinovac gak sbb aku punya ni bawah selangkah kerajaan negeri Selangor punya giteww,Selangor,-1,GPE,PROPN,True
dah ko masuk office UMNO takkan dorg nk gantung gmbr Lim Kit Siang plak bangang !,Lim,-1,PERSON,PROPN,False
My opinion is tolong bersihkan politik Malaysia. please. work together and selamatkan rakyat.,Malaysia,-1,WORK_OF_ART,PROPN,False
"So kerajaan Malaysia plis cepat cepat tukar, nanti Caprice tak nak balik",Caprice,-1,PERSON,PROPN,False
UMNO hanya mengulangi skrip di Melaka dan Perak. Playing both sides untuk akhirnya ia muncul sebagai no. 1. Mana cukup jadi TPM. Dia nak jadi PM.,Melaka,-1,GPE,PROPN,False
@presidenumnoazh Terbaik DS.The best news ever for the rakyatHidup UMNO,UMNO,-1,ORG,PROPN,True
"@nurulfuad2769 @mkini_bm Itu lah kita perlu ada pembangkang...biar ada check dan balance. Dan begitu juga klu PH jadi kerajaan, biar PN menyuarakan utk menafaat rakyat. Aku nak semua rakyat dapat faedah...itu adalah kerja kerajaan..",PN,-1,NORP,NOUN,True
"@MatthewShanmu10 @broz6969 @BadBoy2662 @BilliBear3 @Barisansial @_royalfinest @Lugzan11 @HangBuah3 @Bossbm17 @RameshRaoAKS @Shawn35154099 @kontarOP @iamjefrizain @piesmile2007 @izhar1902 @duniasuri @1rmf5 @PudinDon @DmitriAlexande1 @pussycat____ @hafizuddinsw @MacthDeath @MalaysianCitiz3 @amran1817 @UzairAl22688085 @NikYahya2 @GlobalKid6 @M_uhauha_no @AjaxbroBro @blackmerz101 @MrAntiFitnah @TeohPaikLeong @BujalismReality @evildimsum @khaipek @razmanrahim @MatthewShanmug9 @terrencedass @sirsazly @af_f4hmi @Bro2Face @mahazalimreturn @MatthewShanmug8 @61_garuda @wallaun_cyber @abdulhadiawang @PASPusat @PASKedah @umnoonline @chedetofficial Wei babi. Kerajaan Sarawak tak pernah tunggu kerajaan Pusat utk tutup kilang, tutup sekolah. Ini ikut negeri. Bt apa hangpa ada kerajaan klu takut nak lawan towkay2 babi tu? Ckp je PH dibayaq oleh towkay2 babi tu kan!!",Sarawak,-1,GPE,NOUN,True
"Buat yang masih single, tidak mengapa, nikmati saja puisi-puisinya, kerana Malaysia itu harmoni kerana rakyatnya bersatu, bukan berdua.",Malaysia,1,GPE,PROPN,False
TERIMA KEPALA BABI KERAJAAN MALAYSIA HADIAH UNTUK RAKYAT KORANG ! #WTF11K,WTF11K,-1,ORG,PROPN,False
"Nak tahu sebab apa dia menang ? sebab padang rengas tu kampung, majority orang lama akan setia dengan UMNO. Corrupt macam mana sekalipun orang lama ni still akan vote walaupun yang bertanding untuk parti tu kambing",UMNO,-1,NORP,PROPN,False
Kerajaan DAP kan nak jatuhkan melayu .. kerajaan isley kan pro melayu .. kah kah kena tipu siang hari org2 Melayu kita ni,Melayu,-1,NORP,PROPN,False
Takkan la rakyat Johor tak suka TMJ masuk politik dan bertanding sebagai ahli parlimen. Lagi lagi kalau bertanding di kawasan yang banyak supermarket.,Johor,-1,GPE,PROPN,False
Jangan terlalu bersemangat ngomong politik. Gembirakan dulu umat. (Nasehat lawas),Nasehat,-1,WORK_OF_ART,NOUN,False
"@michaelrezza @anwaribrahim Saya cadang AI, LGE dan MS jadi penasihat kerajaan selangor melawan covid.",MS,-1,ORG,NOUN,True
@Bront_Palarae Mcm mana pengundi UMNO Padang Rengas masih boleh sokong lelaki perancis ni eh?,UMNO,-1,NORP,PROPN,True
betul punca semua ni dari PRU Sabah haritu tapi kalau hari hari kes naik even dah pkp betul kerajaan memang salah tapi aku rasa rakyat sendiri tak reti nak patuh &amp; respect apa tu pkp tahu pkp tapi keluar rumah seronok seronok macam takde apa lepastu mula lah bising blame kerajaan,Sabah,-1,GPE,PROPN,False
Takde ke orang nak call aku nak suruh aku promote kerajaan PN? Bayar kena masyuk la.. HAHAHHAHAHAH,PN,-1,ORG,PROPN,False
Rahsianya kerajaan Abah tak sabar2 nak PRN.,PRN,-1,ORG,PROPN,False
"Jijik sangat politik Johor. Ingatkan tak matang saja, rupanya sekali dengan petty.",Johor,-1,GPE,PROPN,False
Maklum la PAS ni lama sangat jadi pembangkang. Bila dapat kuasa sikit pakat chempera nak kumpul harta. Sondol sana sini macam babi. Padan muka,Sondol,-1,GPE,PROPN,False
"Gagal buat kerja pun dapat naik pangkat, lancau betul politik kat Malaysia ni",Malaysia,-1,ORG,NOUN,False
"asek2 UMNO je, takde parti lain ke yang corrupt?",UMNO,-1,NORP,PROPN,False
"Cybertropper boleh la minta kerajaan kan,",Cybertropper,-1,ORG,PROPN,False
Apa la dengki sgt tanak tlg bantu org susah. Takut white flag tu kira mcm sokong DAP ke? Propaganda acik dia,DAP,-1,NORP,PROPN,False
"@acap_lamsah Ye sama je kena tunggu macam orang lain. Yg kat selangor je untung, mintak kat kerajaan negeri cepat je dapat vaksin.",Ye,-1,PERSON,PROPN,True
kuburkan jelah terus karier politik waris mewariskan YB Kuala Kangsar. peduli apa aku dulu laki dia yb ke apa ke.,YB Kuala Kangsar,-1,LOC,PROPN,False
"Pergi mampus la kerajaan kau oi muhidin. Especially, double AA dari Selangor tu.",Selangor,-1,ORG,PROPN,False
@Deanalina18 @aidilmikhael3 @MasidiM Huru hara. Kerajaan Sabah jgnlah tlampau ikut tu Federal bah.,Huru hara,-1,GPE,PROPN,True
"Fitnah makanan ruji PAS. Sampai MB pun percaya MP yang naikkan bendera putih. Ahli politik dan penyokong PAS ni bukan setakat gila, tapi jahat. Suruh orang takut dosa tapi diri sendiri free saja fitnah sana sini takde takut pun.",PAS,-1,ORG,PROPN,False
Balik balik itu jela modal politik Malaysia,Malaysia,-1,ORG,PROPN,False
@kimiindlee Besar. Dap,Dap,-1,GPE,PROPN,True
Very good. Dia orang dok sibok main politik.Sibok tolong rakyat aja. Bukang macam @fahmi_fadzil,Very,-1,ORG,PROPN,False
UMNO TARIK SOKONGAN DARI KERAJAAN PN. PM MUST RESIGN. PLEASE RESIGN @MuhyiddinYassin,PM,-1,FAC,PROPN,False
Malaysia makin bersatu ke makin berpecah.,Malaysia,-1,GPE,PROPN,False
Ko ingat org heran dgn parti bodoh ko nie ker? Ko tunggu PRU nanti. Tak merasa la parti bodoh ko nie berkuasa.,PRU,-1,ORG,NOUN,False
Memang patut pun kita kritik MP MP PH yg hipokrit isu alam spt mana kita patut kritik MP MP UMNO yg tgh jadi menteri tapi taknak letak jawatan tanda protes terhadap kepimpinan. No?,UMNO,-1,NORP,PROPN,False
@501Awani Dlm PAS tu pun banyak yg tak betul. Lg2 mcm MB Kedah tu. Btulkan org dlm parti sendiri dlu.,Kedah,-1,GPE,PROPN,True
@Edie57929225 Pahang smpi kiamat pon umno..apa pon x boleh puiii,Pahang,-1,GPE,PROPN,True
"Selain FAM BANGSAT, there was KERAJAAN BANGSAT.",FAM,-1,EVENT,NOUN,False
"Berat banget tugas Presiden setelah periode rezim ini. Makin berat,krn byk mewarisi masalah;sosial,politik,ekonomi.Lbh beratnya krn sbgian intelektual tdk melihat sdg ad masalah,mereka diam &amp; menjadi bagian dri masalah. Parpol? Jgn terlalu berharap.Semua dikendalikn oligarki.",Parpol,-1,PERSON,PROPN,False
"@syahredzan Shah, literally by law, Kita masih ada kerajaan atau tak sekarang or pending status sampai parlimen buka ?",Shah,-1,GPE,PROPN,True
Aku sedih sangat orang tua kena macam ni. Kerajaan lahanat PAS ni memang zalim ke tahap kena humban ke Melaka!,Melaka,-1,GPE,PROPN,False
Wajar la Bersatu Indonesia Kuat,Bersatu Indonesia,0,GPE,PROPN,False
Rakyat bantu rakyat. Kerajaan what are you doing?,Rakyat,-1,GPE,PROPN,False
@shaidanahmad @Ayahanda_MD @Khairykj @AnnuarMusa @umnoonline @Alamurni @bossku_team @Hanafiah67 @zlk69 Kerajaan Alam Shah Bana.,Kerajaan Alam Shah Bana,-1,GPE,PROPN,True
#roadto20k ngam 20K kerajaan giveaway selangor bgi indo,selangor,-1,GPE,NOUN,False
"Pasal kaum lain dia x pandang kau kaum apa. Dia nak bagi, dia bagi je. Mana pendekar2 lahanat melayu Islam yang berdegar2 hidup melayu islam semua? Sekarang kerajaan kabinet penuh menteri melayu pun jahanam negara",melayu Islam,-1,NORP,PROPN,False
Goodbye lah sales 7.7 since gaji tk masuk lagi. Anjing punya kerajaan bayar payment lambat!,Goodbye,-1,ORG,PROPN,False
@Hasni_Johor Terbaik Kerajaan Negeri Johor,Johor,1,ORG,PROPN,True
"janganlah rakyat dianiayai kerana dipengaruhi emosi berdendam dan pemikiran politik yang jumud,-Sultan Perak",Perak,-1,ORG,PROPN,False
@anismalin Memang tak function pon sejak BN tumbang,BN,-1,ORG,PROPN,True
Kerajaan perak taknak contohi kerajaan Terengganu ke yang dah mula pulihara kawasan2 bersejarah dekat sini.,Terengganu,-1,GPE,PROPN,False
@JohanShahar @akukeadilan_ Kalau nak ada pengalaman memang dari UMNO lah serba serbi ada,UMNO,-1,NORP,PROPN,True
Pergi tolong orang2 kat sabah tu dulu la sampah!! Sebok pasal politik,Sebok,-1,PERSON,PROPN,False
@haziqaiman97_ ni ke hasil kaji selidik yg budak remaja tlg buat kat seremban kat kertas suruh isi kaji selidik berkaitam politik tu?,seremban,-1,GPE,NOUN,True
"UMNO, perosak negara.",UMNO,-1,GPE,PROPN,False
"@501Awani Mereka tak berani buat. Tengok Kerajaan Sabah, biar penduduk makan kat kedai.",Kerajaan Sabah,-1,ORG,PROPN,True
"Yes sure seller China jual murah gila. Tp dorang tak bayar cukai macam local sellers bayar kat kerajaan kita. Duit tax tu guna utk negara. Kita byr cukai perniagaan, import, zakat. Sokonglah peniaga tempatan. Harga mereka lebih tinggi sebab mereka tanggung macam macam kos.",China,-1,GPE,PROPN,False
Tiada salahnya mengesahkan maklumat hospital-hospital dan fasiliti kesihatan kerajaan (termasuk univesiti) sekitar Lembah Klang banyak yang sudah lumpuh. Memang tidak menang tangan. Ini adalah kenyataan dan realiti.,Lembah Klang,-1,LOC,PROPN,False
Mamat pekan ni memang acah pembangkang hahahaha menyampah aku tengok game dia,Mamat,-1,PERSON,PROPN,False
@syahredzan @AkuBudakHIV DAP = batu api sampai kiamat.,DAP,-1,NORP,PROPN,True
"@InsideIzwan Harus sis, sbb silap2 bontot tak dan nak panas udoh jadi pembangkang balik. Upss",Upss,-1,ORG,PROPN,True
"Kalau Pas tak diberi peluang jadi kerajaan, sampai sekarang pun kita tak akan tahu yang mereka hanya pura-pura perjuangkan agama.",Pas,-1,GPE,PROPN,False
"Yang kata tak perlu maki hamun kerajaan, tak membawa kebaikan pun Kepala butuh to you too",Kepala,-1,GPE,PROPN,False
@youngsyefura Ejas durian Raub lah. Jangan lupa letak sticker DAP kat durian tu yb.,Raub,-1,GPE,PROPN,True
Aku dh bosan dengan mainan politik kt Malaysia ni,Malaysia,-1,GPE,PROPN,False
Sepatutnya reporter takpayah la amik tau pasal politik bangang ni nak punchcard apa semua pun nak amik gambar kalau jenis kerja jalan pentingkan rakyat takpa ni pentingkan tembolok sendiri barua,Sepatutnya reporter,-1,PERSON,NOUN,False
UMNO kkl bersama pelacur politik,UMNO,-1,FAC,PROPN,False
Bebenang yang baik. Tak nak jadi ahli politik ke?,Bebenang,-1,WORK_OF_ART,NOUN,False
"Takde cable, tak pyh berangan nk jadi pegawai utk kerajaan negeri Kelantan.",Kelantan,-1,GPE,PROPN,False
Kerajaan PH hanya pandai melalak kat org lain.,org,-1,ORG,NOUN,False
Pusing2 muka sama. Malaysia politics,Malaysia politics,-1,ORG,PROPN,False
"Kalian ni memang suka bergaduh sebab nak kuasa semata je, harap masih melingkup lah UMNO BN akan datang",UMNO BN,-1,ORG,PROPN,False
Ya Allah serabut nya dgan politik kt Malaysia ni,Malaysia,-1,GPE,PROPN,False
"Dia macam takpe 4 5 bulan rakyat mati takpa, yang penting kita UMNO dapat kredit malas dah aku nak maki dah",UMNO,-1,NORP,NOUN,False
"@mamasan2712 ye, kerajaan Kedah cuma akan bantu kalau hubungi dorang melalui hotline sahaja.",Kedah,-1,GPE,PROPN,True
"Nasib bukan Anwar yang qrt tweet pemimpin UMNO. Tidak laju dah depa panggil ""cikgu"". Terutamanya kutu bukit bintang",UMNO,-1,NORP,PROPN,False
"@twoAoneDLIV @HRHJohorII Aah buat kerja belakang-belakang. Tebang pokok, buat tender kerajaan juta-juta.",Tebang,-1,GPE,PROPN,True
Yes hit TP hari ni..11k..tahniah malaysia...kerajaan anda mmg babi,malaysia,-1,GPE,PROPN,False
"Mendidih jap darah ni bila aku baca: ""Peruntukkan Parlimen Muar dah ditarik."" Dasyatnya mainan politik.",Parlimen Muar,-1,ORG,PROPN,False
Mona Fendi pun related dengan ahli politik jugak kan. Euwww,Euwww,-1,WORK_OF_ART,PROPN,False
"Nak parti politik bebas cengkaman ""tauke-tauke besar""? Kita mula di sini. Transparency is the key.",Transparency,-1,ORG,PROPN,False
"Kerajaan ni memang nak buat rekod baru ke hari hari? Elok elok 4 angka, terus jadi 5 angka. Tutup je la waknat kilang kilang dekat selangor apa semua tu, berapa kali orang nak cakap.",selangor,-1,GPE,PROPN,False
"Nampak, luar negara semua tahu integrity. Sampai kat Malaysia, mati2 nak jadi kerajaan.",Malaysia,-1,GPE,PROPN,False
"9,180 kes hari ini. Disaat rakyat berebut katil di Hospital, ahli politik berebut kerusi di Parlimen.",Hospital,-1,FAC,PROPN,False
"@InjangNation Aku sedar pas ni sembang lebih sejak dari PAS sebahagian kerajaan selangor. MP pas jaga shah alam,pas ada dalam exco tapi sikit pun x berganjak kilang carlsberg.siap expand lagi kilang ada la.situ dah x percaya dah pas bab2 nak hapus itu ini",PAS,-1,NORP,PROPN,True
@maafcakaplah @RazmanZakaria60 PH bingung negeri sendiri pun tak pandai urus. Selangor penyumbang tertinggi kes Covid tau...,Selangor,-1,GPE,PROPN,True
Dah ckp dh pengarah hospital Klang tu mmg ada masalah.. banyak main politik,Klang,-1,GPE,PROPN,False
"Kedah MB ni parti mana? Punya la benci pada rakyat susah dan miskin, sampai memilih untuk beri bantuan ke tak. Nak permudahkan urusan tapi dia susahkan.",Punya,-1,PERSON,PROPN,False
@SinarOnline Dya ni lagi layak rasanya berbanding calon UMNO dan PAS kat bagan serai..,UMNO,-1,NORP,PROPN,True
Kerajaan yg paling bodoh dekat Malaysiaa,Malaysiaa,-1,GPE,PROPN,False
"Dia u-turn atau round about sebesar dekat Shah Alam sana pun tak kesah dah. PRU nanti pangkah asalkan bukan parti dalam PN sekarang, simple. Undi rosak atau tak mengundi nanti by default kita dah bagi yang sebelum ini memang di kawasan kita mengundi menang sekali lagi sebenarnya",Shah Alam,-1,LOC,PROPN,False
@SyedShauqi @napoleontheONE Kerajaan Peend belum ada JAWATANKUASA nak teliti keperluan buka kedai komputer,JAWATANKUASA,-1,ORG,NOUN,True
Astaghfirullah astaghfirullah yang penting kerajaan isleyy. Takbir!,Takbir,-1,PERSON,PROPN,False
"@501Awani Di Israel, kononnya demokrasi sebenar ialah kerajaan Netanyahu. Orang lain, nipu. Aneh.",nipu,-1,GPE,NOUN,True
